num_SKU,lamda,skillCost,GA_best_cost,holding_cost_min,utilization_rate,best_cost_record,machineCost,record_of_min,penalty_cost,var_level,GA_best_priority,GA_run_time
20,0.5,100,78259.0127280553,100,0.8,"[80409.37186385892, 79736.61675095929, 79320.66126633964, 78784.40879100651, 78486.34959663656, 78486.34959663656, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553]",10000,"[79736.61675095929, 79320.66126633964, 78784.40879100651, 78486.34959663656, 78486.34959663656, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553, 78259.0127280553]",24016.713956550924,0.05,"[18, 2, 19, 16, 9, 10, 10, 17, 11, 3, 3, 17, 19, 5, 11, 7, 20, 18, 7, 1]",275156.0898120403
10,0.5,100,112121.89297995383,100,0.8,"[116058.17093952064, 116058.17093952064, 113407.73125723319, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383]",10000,"[116058.17093952064, 113407.73125723319, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383, 112121.89297995383]",21257.233583186353,0.05,"[6, 2, 10, 8, 7, 3, 9, 10, 4, 3]",182067.82459306717
20,0.5,100,543143.7926185732,1,0.8,"[601145.0721191962, 577210.10659634, 557370.437070368, 550355.2710924161, 549508.103737742, 544068.4332517642, 544068.4332517642, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732]",100000,"[577210.10659634, 557370.437070368, 550355.2710924161, 549508.103737742, 544068.4332517642, 544068.4332517642, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732, 543143.7926185732]",16817.197139997286,0.05,"[19, 1, 12, 18, 16, 10, 19, 3, 18, 18, 3, 11, 2, 7, 3, 13, 19, 15, 6, 8]",200957.5257768631
10,0.5,100,872762.9013017279,1,0.8,"[877248.9208513992, 876192.9458181368, 875121.8857902886, 874628.7367055546, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279]",100000,"[876192.9458181368, 875121.8857902886, 874628.7367055546, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279, 872762.9013017279]",11197.92354236123,0.05,"[8, 4, 10, 2, 6, 3, 4, 1, 1, 7]",171289.67593288422
20,0.5,100,80142.27444821932,1,0.8,"[87924.51191286296, 84736.12525096162, 82843.70480249991, 81305.64307624826, 81159.4109715853, 80794.30511482546, 80533.7169480141, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932]",10000,"[84736.12525096162, 82843.70480249991, 81305.64307624826, 81159.4109715853, 80794.30511482546, 80533.7169480141, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932, 80142.27444821932]",23745.960147704027,0.05,"[16, 19, 15, 19, 11, 1, 19, 4, 17, 4, 19, 7, 15, 3, 9, 4, 7, 19, 1, 2]",286886.2098789215
10,0.5,100,116435.95368699398,1,0.8,"[123968.22507244849, 119258.99212166178, 116938.07839891038, 116938.07839891038, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398]",10000,"[119258.99212166178, 116938.07839891038, 116938.07839891038, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398, 116435.95368699398]",31685.961815052666,0.05,"[3, 6, 10, 7, 1, 10, 1, 2, 6, 7]",191071.64483714104
10,0.5,100,73855.26785766169,100,0.8,"[74959.23950451652, 73982.09539557835, 73982.09539557835, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169]",10000,"[73982.09539557835, 73982.09539557835, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169, 73855.26785766169]",21743.13122789272,0.05,"[3, 7, 7, 1, 4, 8, 7, 3, 6, 7]",266264.2298569679
20,0.5,100,119875.60096364577,100,0.8,"[124936.08252839155, 123428.36375606369, 122936.02037482566, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577]",10000,"[123428.36375606369, 122936.02037482566, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577, 119875.60096364577]",21409.489909841628,0.05,"[13, 13, 14, 14, 13, 10, 5, 19, 5, 16, 3, 7, 1, 8, 11, 14, 20, 2, 18, 8]",289366.1023659706
10,0.5,100,525317.707845228,100,0.8,"[535388.8782361075, 527233.0383212016, 525452.021792569, 525452.021792569, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228]",100000,"[527233.0383212016, 525452.021792569, 525452.021792569, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228, 525317.707845228]",23139.50639975645,0.05,"[8, 1, 10, 7, 2, 4, 1, 8, 10, 3]",174039.72696709633
20,0.5,100,866365.8081676107,100,0.8,"[908478.7644411272, 879952.2414818864, 875841.9456491129, 875841.9456491129, 871036.8549830302, 870345.6073644363, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107]",100000,"[879952.2414818864, 875841.9456491129, 875841.9456491129, 871036.8549830302, 870345.6073644363, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107, 866365.8081676107]",28356.549203413048,0.05,"[3, 4, 15, 16, 2, 12, 15, 13, 11, 6, 17, 16, 17, 5, 9, 2, 16, 15, 8, 20]",187290.37179899216
