BO_cost,Case_id,H_cost,Lamda,Num_back_orders,Parameter_Name,Parameter_Value,Server_cost,T_cost,Used_server,Utilization,Var_level
29076.7485480722,Case: 0076,6950.7112540774,0.0,2.1291308836,holding_cost,1.25,120000,156027.4598021497,12,0.6666666684,0.05
34167.249458937,Case: 0076,8230.5181488654,0.0,2.5018803568,holding_cost,1.5,120000,162397.7676078024,12,0.6666666684,0.05
58686.8909991656,Case: 0076,10484.9882925757,0.0,4.2973192785,holding_cost,2.0,120000,189171.8792917413,12,0.6666666684,0.05
77186.7765828195,Case: 0076,12643.3907461182,0.0,5.6519644746,holding_cost,2.5,120000,209830.1673289377,12,0.6666666684,0.05
96236.9547029018,Case: 0076,14345.5525341622,0.0,7.0469045762,holding_cost,3.0,120000,230582.507237064,12,0.6666666684,0.05
85578.2105620517,Case: 0079,7894.3717420711,0.0,3.5632772542,holding_cost,1.25,80000,173472.5823041227,8,0.4999999998,0.05
87587.0921113316,Case: 0079,9400.6844746282,0.0,3.6469224004,holding_cost,1.5,80000,176987.7765859598,8,0.4999999998,0.05
116516.818193238,Case: 0079,11182.2611572791,0.0,4.8514887759,holding_cost,2.0,80000,207699.0793505171,8,0.4999999998,0.05
151763.9556103723,Case: 0079,12224.3210290308,0.0,6.3190974371,holding_cost,2.5,80000,243988.2766394031,8,0.4999999998,0.05
202614.7193978228,Case: 0079,12235.5260069968,0.0,8.4364047373,holding_cost,3.0,80000,294850.2454048196,8,0.4999999998,0.05
63442.0550025834,Case: 0080,10497.5642988766,0.0,2.9844925378,holding_cost,1.25,110000,183939.61930146,11,0.7272727275,0.05
97596.3361512087,Case: 0080,11629.1022697573,0.0,4.5912058956,holding_cost,1.5,110000,219225.438420966,11,0.7272727275,0.05
133160.6186339846,Case: 0080,14468.623671752,0.0,6.2642496783,holding_cost,2.0,110000,257629.2423057367,11,0.7272727275,0.05
157432.1309602386,Case: 0080,17827.0099436837,0.0,7.4060498204,holding_cost,2.5,110000,285259.1409039223,11,0.7272727275,0.05
175256.2233952522,Case: 0080,21114.4527649442,0.0,8.2445452137,holding_cost,3.0,110000,306370.6761601964,11,0.7272727275,0.05
49260.1539979269,Case: 0117,7489.2346955058,0.0,2.0744646117,holding_cost,1.25,70000,126749.3886934327,7,0.5714285718,0.05
97030.6752350164,Case: 0117,7821.4653785069,0.0,4.0861971734,holding_cost,1.5,70000,174852.1406135233,7,0.5714285718,0.05
164830.4480007923,Case: 0117,8484.0555181279,0.0,6.9414101167,holding_cost,2.0,70000,243314.5035189202,7,0.5714285718,0.05
192152.1942073191,Case: 0117,9851.5995524934,0.0,8.0919951441,holding_cost,2.5,70000,272003.7937598126,7,0.5714285718,0.05
208064.1866095432,Case: 0117,11268.4601758108,0.0,8.7620877537,holding_cost,3.0,70000,289332.646785354,7,0.5714285718,0.05
27239.5714784338,Case: 0118,9784.8841019958,0.0,0.8596731776,holding_cost,1.25,120000,157024.4555804296,12,0.6666666669,0.05
59544.5314048661,Case: 0118,11065.0633371787,0.0,1.879208583,holding_cost,1.5,120000,190609.5947420448,12,0.6666666669,0.05
105868.0643708047,Case: 0118,13660.4449570461,0.0,3.3411661918,holding_cost,2.0,120000,239528.5093278508,12,0.6666666669,0.05
110527.4949257455,Case: 0118,16991.64411755,0.0,3.4882165033,holding_cost,2.5,120000,247519.1390432955,12,0.6666666669,0.05
129289.6480692288,Case: 0118,20290.4629876901,0.0,4.0803447541,holding_cost,3.0,120000,269580.1110569189,12,0.6666666669,0.05
54356.7320737476,Case: 0119,5606.8417093313,0.0,2.4999495935,holding_cost,1.25,70000,129963.5737830789,7,0.5714285725,0.05
67889.8306181182,Case: 0119,6435.300139685,0.0,3.1223575807,holding_cost,1.5,70000,144325.1307578032,7,0.5714285725,0.05
79886.6602406958,Case: 0119,8259.1696285998,0.0,3.6741102008,holding_cost,2.0,70000,158145.8298692956,7,0.5714285725,0.05
107836.2165203571,Case: 0119,9752.1477451396,0.0,4.9595532212,holding_cost,2.5,70000,187588.3642654967,7,0.5714285725,0.05
129636.4053440302,Case: 0119,11096.0796908226,0.0,5.9621773877,holding_cost,3.0,70000,210732.4850348528,7,0.5714285725,0.05
85136.0624620337,Case: 0120,12493.623526383,0.0,3.9765572566,holding_cost,1.25,110000,207629.6859884168,11,0.7272727277,0.05
138853.4059443361,Case: 0120,13123.6542266849,0.0,6.4856008494,holding_cost,1.5,110000,261977.060171021,11,0.7272727277,0.05
182713.0376949689,Case: 0120,16660.8250560838,0.0,8.5342078893,holding_cost,2.0,110000,309373.8627510527,11,0.7272727277,0.05
238579.0594096405,Case: 0120,18769.6478552592,0.0,11.1436125015,holding_cost,2.5,110000,367348.7072648997,11,0.7272727277,0.05
309288.7709511862,Case: 0120,19215.0057550033,0.0,14.4463400227,holding_cost,3.0,110000,438503.7767061895,11,0.7272727277,0.05
70606.0209975633,Case: 0022,6899.0026763032,0.0,4.1984416553,holding_cost,1.25,700000,777505.0236738665,7,0.5714285668,0.05
107042.5816333848,Case: 0022,6713.3748431055,0.0,6.3650667077,holding_cost,1.5,700000,813755.9564764904,7,0.5714285668,0.05
143738.7801856897,Case: 0022,7010.1338592127,0.0,8.5471305943,holding_cost,2.0,700000,850748.9140449024,7,0.5714285668,0.05
145147.5106491813,Case: 0022,8654.8357139041,0.0,8.6308978506,holding_cost,2.5,700000,853802.3463630853,7,0.5714285668,0.05
148757.3544790948,Case: 0022,10203.4926214787,0.0,8.845549781,holding_cost,3.0,700000,858960.8471005735,7,0.5714285668,0.05
79645.3614088447,Case: 0023,9061.806470213,0.0,7.1125116284,holding_cost,1.25,900000,988707.1678790577,9,0.888888889,0.05
94207.4710766314,Case: 0023,10591.593068513,0.0,8.4129410886,holding_cost,1.5,900000,1004799.0641451443,9,0.888888889,0.05
117830.4754148635,Case: 0023,13528.6038580241,0.0,10.5225290179,holding_cost,2.0,900000,1031359.0792728877,9,0.888888889,0.05
130549.8627737454,Case: 0023,16395.0416361386,0.0,11.6583991916,holding_cost,2.5,900000,1046944.904409884,9,0.888888889,0.05
145634.2630312588,Case: 0023,19227.5491571154,0.0,13.0054703875,holding_cost,3.0,900000,1064861.812188374,9,0.888888889,0.05
65648.7387012171,Case: 0029,7782.5025692069,0.0,2.8370846624,holding_cost,1.25,600000,673431.241270424,6,0.6666666671,0.05
96325.4919970277,Case: 0029,8926.2643904886,0.0,4.1628153312,holding_cost,1.5,600000,705251.7563875163,6,0.6666666671,0.05
160291.828669696,Case: 0029,10953.7705893259,0.0,6.9271930827,holding_cost,2.0,600000,771245.5992590219,6,0.6666666671,0.05
226362.6823347961,Case: 0029,12512.5169618728,0.0,9.7825199217,holding_cost,2.5,600000,838875.1992966689,6,0.6666666671,0.05
244697.6418931821,Case: 0029,14594.4859368308,0.0,10.5748859836,holding_cost,3.0,600000,859292.1278300129,6,0.6666666671,0.05
239764.1565295932,Case: 0032,21233.938170395,0.0,8.4553361839,holding_cost,1.25,900000,1160998.0946999881,9,0.8888888888,0.05
285205.2225345356,Case: 0032,25115.8024119388,0.0,10.05782546,holding_cost,1.5,900000,1210321.0249464745,9,0.8888888888,0.05
407355.9190290904,Case: 0032,30654.588299714,0.0,14.3654968772,holding_cost,2.0,900000,1338010.5073288043,9,0.8888888888,0.05
512721.676951216,Case: 0032,35357.7659228929,0.0,18.081243711,holding_cost,2.5,900000,1448079.442874109,9,0.8888888888,0.05
600045.8972121933,Case: 0032,39113.3768047092,0.0,21.1607517159,holding_cost,3.0,900000,1539159.2740169025,9,0.8888888888,0.05
127684.5622505737,Case: 0034,15316.5809845644,0.0,5.7932193411,holding_cost,1.25,900000,1043001.1432351382,9,0.8888888876,0.05
155250.2191332732,Case: 0034,18110.8830938779,0.0,7.0439100572,holding_cost,1.5,900000,1073361.1022271512,9,0.8888888876,0.05
218178.7688687966,Case: 0034,23239.1940107843,0.0,9.8990625127,holding_cost,2.0,900000,1141417.962879581,9,0.8888888876,0.05
271855.5242339075,Case: 0034,27842.0067957642,0.0,12.3344486852,holding_cost,2.5,900000,1199697.5310296717,9,0.8888888876,0.05
328093.2432271728,Case: 0034,31041.7885467824,0.0,14.8860292023,holding_cost,3.0,900000,1259135.031773955,9,0.8888888876,0.05
96806.4872941422,Case: 0035,7869.5918438374,0.0,3.6203238857,holding_cost,1.25,700000,804676.0791379795,7,0.5714285713,0.05
151632.7077504574,Case: 0035,8122.4918825913,0.0,5.6706893212,holding_cost,1.5,700000,859755.1996330486,7,0.5714285713,0.05
195766.4865431494,Case: 0035,9373.5692807809,0.0,7.3211838076,holding_cost,2.0,700000,905140.0558239303,7,0.5714285713,0.05
226044.5529608713,Case: 0035,10187.0867346707,0.0,8.4535088215,holding_cost,2.5,700000,936231.6396955419,7,0.5714285713,0.05
226808.1139968706,Case: 0035,12176.5813271688,0.0,8.4820641212,holding_cost,3.0,700000,938984.6953240393,7,0.5714285713,0.05
39199.8685077019,Case: 0041,11806.184332191,0.0,2.4593171576,holding_cost,1.25,1000000,1051006.052839893,10,0.8000000001,0.05
96506.7558997419,Case: 0041,10902.8245500635,0.0,6.0546305293,holding_cost,1.5,1000000,1107409.5804498054,10,0.8000000001,0.05
141743.8231680191,Case: 0041,11988.9530686562,0.0,8.8927088171,holding_cost,2.0,1000000,1153732.7762366752,10,0.8000000001,0.05
163198.3014983141,Case: 0041,13774.9242225559,0.0,10.2387175838,holding_cost,2.5,1000000,1176973.22572087,10,0.8000000001,0.05
172778.5981321566,Case: 0041,16366.5288847241,0.0,10.8397652093,holding_cost,3.0,1000000,1189145.1270168808,10,0.8000000001,0.05
130487.458219072,Case: 0044,5470.4137664542,0.0,7.8890754033,holding_cost,1.25,600000,735957.8719855263,6,0.6666666671,0.05
158976.8909130249,Case: 0044,6143.8548357233,0.0,9.6115036411,holding_cost,1.5,600000,765120.7457487482,6,0.6666666671,0.05
171515.3848441333,Case: 0044,7938.7343414582,0.0,10.3695621198,holding_cost,2.0,600000,779454.1191855916,6,0.6666666671,0.05
187549.9007448313,Case: 0044,9515.1731460985,0.0,11.3389848269,holding_cost,2.5,600000,797065.0738909298,6,0.6666666671,0.05
199202.573053131,Case: 0044,10961.2213015034,0.0,12.043487863,holding_cost,3.0,600000,810163.7943546345,6,0.6666666671,0.05
27841.2214575128,Case: 0075,3445.2989677467,0.0,1.7017280878,holding_cost,1.25,80000,111286.5204252595,8,0.4999999998,0.05
41699.1828257092,Case: 0075,3481.3750269224,0.0,2.5487628394,holding_cost,1.5,80000,125180.5578526316,8,0.4999999998,0.05
44043.9364514276,Case: 0075,4595.286337668,0.0,2.692080298,holding_cost,2.0,80000,128639.2227890956,8,0.4999999998,0.05
46419.0264636267,Case: 0075,5685.9241326328,0.0,2.8372519957,holding_cost,2.5,80000,132104.9505962594,8,0.4999999998,0.05
53111.1893327825,Case: 0075,6627.6114265997,0.0,3.2462944488,holding_cost,3.0,80000,139738.8007593822,8,0.4999999998,0.05
11450.1713695301,Case: 0076,14145.063294616,0.5,0.8384332741,holding_cost,1.25,90000,115595.2346641461,9,0.8888888913,0.05
36354.7905153304,Case: 0076,14640.0998899536,0.5,2.6620619952,holding_cost,1.5,90000,140994.8904052841,9,0.8888888913,0.05
60173.8485103395,Case: 0076,15865.3033422462,0.5,4.4062010248,holding_cost,2.0,90000,166039.1518525856,9,0.8888888913,0.05
72402.8538459299,Case: 0076,18860.6255304033,0.5,5.3016640403,holding_cost,2.5,90000,181263.4793763332,9,0.8888888913,0.05
84790.3984752522,Case: 0076,21496.0218350392,0.5,6.2087360191,holding_cost,3.0,90000,196286.4203102914,9,0.8888888913,0.05
23909.9195143655,Case: 0079,16449.7809003045,0.5,0.9955533283,holding_cost,1.25,50000,90359.70041467,5,0.7999999997,0.05
26046.1616498687,Case: 0079,19182.416723703,0.5,1.0845014725,holding_cost,1.5,50000,95228.5783735717,5,0.7999999997,0.05
69094.9143297294,Case: 0079,20237.2727894577,0.5,2.8769512122,holding_cost,2.0,50000,139332.1871191871,5,0.7999999997,0.05
93429.7278533576,Case: 0079,23032.1534371329,0.5,3.8901961368,holding_cost,2.5,50000,166461.8812904906,5,0.7999999997,0.05
125047.0552824012,Case: 0079,26081.7250299788,0.5,5.2066679692,holding_cost,3.0,50000,201128.78031238,5,0.7999999997,0.05
10271.9350768553,Case: 0080,17263.4483567456,0.5,0.4832206899,holding_cost,1.25,90000,117535.3834336009,9,0.8888888891,0.05
29165.6022305386,Case: 0080,18513.7697768076,0.5,1.3720318835,holding_cost,1.5,90000,137679.3720073462,9,0.8888888891,0.05
43291.9622493741,Case: 0080,21963.0727081736,0.5,2.0365755534,holding_cost,2.0,90000,155255.0349575477,9,0.8888888891,0.05
61408.1231264386,Case: 0080,25227.0257768688,0.5,2.888810667,holding_cost,2.5,90000,176635.1489033074,9,0.8888888891,0.05
86795.3737428288,Case: 0080,28362.8869646929,0.5,4.0830982735,holding_cost,3.0,90000,205158.2607075218,9,0.8888888891,0.05
13462.9703716374,Case: 0117,15080.0959894265,0.5,0.5669583495,holding_cost,1.25,50000,78543.0663610639,5,0.8000000005,0.05
16834.9464712264,Case: 0117,17047.6033737698,0.5,0.7089604449,holding_cost,1.5,50000,83882.5498449962,5,0.8000000005,0.05
34286.1266052645,Case: 0117,20006.6225055519,0.5,1.4438719846,holding_cost,2.0,50000,104292.7491108164,5,0.8000000005,0.05
69108.2055792442,Case: 0117,20767.6387893364,0.5,2.910314224,holding_cost,2.5,50000,139875.8443685806,5,0.8000000005,0.05
89744.1217587279,Case: 0117,23101.6985596961,0.5,3.7793427261,holding_cost,3.0,50000,162845.8203184241,5,0.8000000005,0.05
26486.5540054538,Case: 0118,19678.663474783,0.5,0.835908159,holding_cost,1.25,90000,136165.2174802369,9,0.8888888893,0.05
74082.6236790905,Case: 0118,21089.1155979536,0.5,2.3380266666,holding_cost,1.5,90000,185171.7392770442,9,0.8888888893,0.05
112237.9958451054,Case: 0118,25318.2004771105,0.5,3.5421994289,holding_cost,2.0,90000,227556.1963222159,9,0.8888888893,0.05
131152.9147976097,Case: 0118,29611.0349228542,0.5,4.1391489254,holding_cost,2.5,90000,250763.9497204639,9,0.8888888893,0.05
134824.3266359224,Case: 0118,34747.4907411802,0.5,4.2550176454,holding_cost,3.0,90000,259571.8173771026,9,0.8888888893,0.05
16398.2481007851,Case: 0119,13482.6703845521,0.5,0.7541806159,holding_cost,1.25,50000,79880.9184853372,5,0.8000000015,0.05
23021.3518342491,Case: 0119,14974.1180468657,0.5,1.0587873289,holding_cost,1.5,50000,87995.4698811148,5,0.8000000015,0.05
29353.6611475123,Case: 0119,17948.4873870575,0.5,1.3500199599,holding_cost,2.0,50000,97302.1485345698,5,0.8000000015,0.05
34073.3670480503,Case: 0119,21042.038929413,0.5,1.5670864831,holding_cost,2.5,50000,105115.4059774633,5,0.8000000015,0.05
123194.36631608,Case: 0119,22655.7995661492,0.5,5.6658981186,holding_cost,3.0,50000,195850.1658822293,5,0.8000000015,0.05
23992.0496266497,Case: 0120,19379.1550390305,0.5,1.1206268682,holding_cost,1.25,90000,133371.2046656802,9,0.8888888894,0.05
38008.0805118203,Case: 0120,21323.9630780798,0.5,1.7752912691,holding_cost,1.5,90000,149332.0435899002,9,0.8888888894,0.05
69259.5719790633,Case: 0120,24828.797262378,0.5,3.234994027,holding_cost,2.0,90000,184088.3692414413,9,0.8888888894,0.05
94993.4425534634,Case: 0120,29317.3912650542,0.5,4.4369783191,holding_cost,2.5,90000,214310.8338185177,9,0.8888888894,0.05
125389.2277335486,Case: 0120,32796.6583044078,0.5,5.8567125262,holding_cost,3.0,90000,248185.8860379564,9,0.8888888894,0.05
27744.8571623427,Case: 0022,23335.3518392677,0.5,1.6497908023,holding_cost,1.25,500000,551080.2090016104,5,0.7999999935,0.05
