BO_cost,Case_id,H_cost,Lamda,Num_back_orders,Parameter_Name,Parameter_Value,Server_cost,T_cost,Used_server,Utilization,Var_level
23261.3988384578,Case: 0076,5560.569003262,0.0,2.1291308836,penalty_cost,0.8,120000,148821.9678417197,12,0.6666666684,0.05
25416.9179057762,Case: 0076,5609.7872867148,0.0,1.8611415506,penalty_cost,1.0,120000,151026.705192491,12,0.6666666684,0.05
30500.3014869314,Case: 0076,5609.7872867148,0.0,1.8611415506,penalty_cost,1.2,120000,156110.0887736462,12,0.6666666684,0.05
35583.6850680866,Case: 0076,5609.7872867148,0.0,1.8611415506,penalty_cost,1.4,120000,161193.4723548015,12,0.6666666684,0.05
40460.4332334671,Case: 0076,5741.8712464901,0.0,1.6459420569,penalty_cost,1.8,120000,166202.3044799572,12,0.6666666684,0.05
68462.5684496413,Case: 0079,6315.4973936569,0.0,3.5632772542,penalty_cost,0.8,80000,154778.0658432982,8,0.4999999998,0.05
57560.589509068,Case: 0079,7039.4428587811,0.0,2.3966888065,penalty_cost,1.0,80000,144600.0323678491,8,0.4999999998,0.05
61596.4394702377,Case: 0079,7214.7349138137,0.0,2.137276828,penalty_cost,1.2,80000,148811.1743840514,8,0.4999999998,0.05
66616.6604125473,Case: 0079,7319.9101468333,0.0,1.9812589246,penalty_cost,1.4,80000,153936.5705593806,8,0.4999999998,0.05
72252.7489405597,Case: 0079,7530.2606128725,0.0,1.6713533813,penalty_cost,1.8,80000,159783.0095534322,8,0.4999999998,0.05
50753.6440020668,Case: 0080,8398.0514391013,0.0,2.9844925378,penalty_cost,0.8,110000,169151.695441168,11,0.7272727275,0.05
33225.6311425505,Case: 0080,9106.7160867262,0.0,1.5630270521,penalty_cost,1.0,110000,152332.3472292767,11,0.7272727275,0.05
32990.5867160999,Case: 0080,9254.6048535853,0.0,1.2933082515,penalty_cost,1.2,110000,152245.1915696852,11,0.7272727275,0.05
33532.6943283747,Case: 0080,9347.0353328722,0.0,1.1267658337,penalty_cost,1.4,110000,152879.7296612469,11,0.7272727275,0.05
41073.4343044835,Case: 0080,9353.3057237016,0.0,1.0734498694,penalty_cost,1.8,110000,160426.7400281851,11,0.7272727275,0.05
39408.1231983415,Case: 0117,5991.3877564046,0.0,2.0744646117,penalty_cost,0.8,70000,115399.5109547462,7,0.5714285718,0.05
19012.8504069935,Case: 0117,6573.5016640189,0.0,0.8006772642,penalty_cost,1.0,70000,95586.3520710125,7,0.5714285718,0.05
21329.9560946026,Case: 0117,6602.42655654,0.0,0.7485468392,penalty_cost,1.2,70000,97932.3826511426,7,0.5714285718,0.05
24023.3115653832,Case: 0117,6616.8890028005,0.0,0.7226285294,penalty_cost,1.4,70000,100640.2005681837,7,0.5714285718,0.05
30887.1148697784,Case: 0117,6616.8890028005,0.0,0.7226285294,penalty_cost,1.8,70000,107504.003872579,7,0.5714285718,0.05
21791.657182747,Case: 0118,7827.9072815967,0.0,0.8596731776,penalty_cost,0.8,120000,149619.5644643437,12,0.6666666669,0.05
12514.3766438352,Case: 0118,7982.3394458769,0.0,0.3949501901,penalty_cost,1.0,120000,140496.7160897122,12,0.6666666669,0.05
15017.2519726023,Case: 0118,7982.3394458769,0.0,0.3949501901,penalty_cost,1.2,120000,142999.5914184792,12,0.6666666669,0.05
17520.1273013693,Case: 0118,7982.3394458769,0.0,0.3949501901,penalty_cost,1.4,120000,145502.4667472462,12,0.6666666669,0.05
22525.8779589034,Case: 0118,7982.3394458769,0.0,0.3949501901,penalty_cost,1.8,120000,150508.2174047804,12,0.6666666669,0.05
43485.3856589981,Case: 0119,4485.473367465,0.0,2.4999495935,penalty_cost,0.8,70000,117970.8590264631,7,0.5714285725,0.05
22434.4486124934,Case: 0119,5110.6056645685,0.0,1.0317947483,penalty_cost,1.0,70000,97545.0542770619,7,0.5714285725,0.05
21022.9829289775,Case: 0119,5205.1558483715,0.0,0.8057327281,penalty_cost,1.2,70000,96228.1387773489,7,0.5714285725,0.05
24526.8134171404,Case: 0119,5205.1558483715,0.0,0.8057327281,penalty_cost,1.4,70000,99731.9692655118,7,0.5714285725,0.05
29327.5349623446,Case: 0119,5222.0517291705,0.0,0.7493435425,penalty_cost,1.8,70000,104549.5866915151,7,0.5714285725,0.05
68108.849969627,Case: 0120,9994.8988211064,0.0,3.9765572566,penalty_cost,0.8,110000,188103.7487907334,11,0.7272727277,0.05
50353.8073904263,Case: 0120,10688.2795508358,0.0,2.3519386778,penalty_cost,1.0,110000,171042.0869412621,11,0.7272727277,0.05
52531.2507826766,Case: 0120,10738.7788647057,0.0,2.0447027231,penalty_cost,1.2,110000,173270.0296473823,11,0.7272727277,0.05
60365.269880666,Case: 0120,10745.8359806436,0.0,2.0139690435,penalty_cost,1.4,110000,181111.1058613095,11,0.7272727277,0.05
74314.7819229776,Case: 0120,10756.3663337963,0.0,1.9283967124,penalty_cost,1.8,110000,195071.1482567738,11,0.7272727277,0.05
56484.8167980506,Case: 0022,5519.2021410426,0.0,4.1984416553,penalty_cost,0.8,700000,762004.0189390932,7,0.5714285668,0.05
34807.2603270266,Case: 0022,6691.0773349659,0.0,2.0697420645,penalty_cost,1.0,700000,741498.3376619925,7,0.5714285668,0.05
28517.3675457837,Case: 0022,7074.5228913658,0.0,1.4131054513,penalty_cost,1.2,700000,735591.8904371494,7,0.5714285668,0.05
26710.1752057969,Case: 0022,7260.9303858696,0.0,1.1344754073,penalty_cost,1.4,700000,733971.1055916665,7,0.5714285668,0.05
29370.0984706489,Case: 0022,7372.7748825719,0.0,0.970240239,penalty_cost,1.8,700000,736742.8733532208,7,0.5714285668,0.05
63716.2891270757,Case: 0023,7249.4451761704,0.0,7.1125116284,penalty_cost,0.8,900000,970965.7343032461,9,0.888888889,0.05
65146.0772795334,Case: 0023,7374.978294084,0.0,5.8176926314,penalty_cost,1.0,900000,972521.0555736173,9,0.888888889,0.05
64867.1571935676,Case: 0023,7504.550668979,0.0,4.827320362,penalty_cost,1.2,900000,972371.7078625467,9,0.888888889,0.05
69985.6730628891,Case: 0023,7543.5537169023,0.0,4.4641996603,penalty_cost,1.4,900000,977529.2267797914,9,0.888888889,0.05
77536.6180405366,Case: 0023,7609.1642410063,0.0,3.8467755873,penalty_cost,1.8,900000,985145.7822815429,9,0.888888889,0.05
52518.9909609737,Case: 0029,6226.0020553655,0.0,2.8370846624,penalty_cost,0.8,600000,658744.9930163393,6,0.6666666671,0.05
