BO_cost,Case_id,H_cost,Lamda,Num_back_orders,Parameter_Name,Parameter_Value,Server_cost,T_cost,Used_server,Utilization,Var_level
43886.0493547403,Case: 0076,5214.765914306,0.0,3.2135347901,repair_rate,1.1,120000,169100.8152690463,12,0.6060606077,0.05
64031.7176025773,Case: 0076,4683.0842201364,0.0,4.6886916278,repair_rate,1.2,120000,188714.8018227137,12,0.555555557,0.05
38440.6710012353,Case: 0076,4200.8760831847,0.0,2.8147995874,repair_rate,1.4,120000,162641.54708442,12,0.4761904775,0.05
7129.7822805271,Case: 0076,4163.7999553322,0.0,0.5220748676,repair_rate,1.6,120000,131293.5822358593,12,0.4166666678,0.05
9614.0896592273,Case: 0076,4041.8332057256,0.0,0.7039870767,repair_rate,1.8,120000,133655.922864953,12,0.3703703714,0.05
70575.5693250565,Case: 0079,6281.0853598089,0.0,2.9386022356,repair_rate,1.1,80000,156856.6546848654,8,0.4545454544,0.05
98239.0339258672,Case: 0079,5804.8966463353,0.0,4.090444434,repair_rate,1.2,80000,184043.9305722025,8,0.4166666665,0.05
82300.5140228391,Case: 0079,4751.2621035916,0.0,3.4268016087,repair_rate,1.4,80000,167051.7761264307,8,0.357142857,0.05
102910.3498114251,Case: 0079,3682.9814626545,0.0,4.2849471413,repair_rate,1.6,80000,186593.3312740796,8,0.3124999999,0.05
114731.0712416733,Case: 0079,3266.036861268,0.0,4.7771344343,repair_rate,1.8,80000,197997.1081029412,8,0.2777777777,0.05
94913.5225676253,Case: 0080,6987.4770283116,0.0,4.464998806,repair_rate,1.1,110000,211900.9995959369,11,0.661157025,0.05
60432.5184329964,Case: 0080,6596.8068939187,0.0,2.8429154808,repair_rate,1.2,110000,177029.325326915,11,0.6060606062,0.05
43118.385366767,Case: 0080,6095.9844603176,0.0,2.0284100091,repair_rate,1.4,110000,159214.3698270846,11,0.5194805196,0.05
6691.9796794745,Case: 0080,5970.6300879061,0.0,0.3148095284,repair_rate,1.6,110000,122662.6097673806,11,0.4545454547,0.05
21676.8157029305,Case: 0080,5793.2714612284,0.0,1.0197383219,repair_rate,1.8,110000,137470.0871641589,11,0.4040404041,0.05
133583.4779682889,Case: 0117,4262.1312660691,0.0,5.6255243897,repair_rate,1.1,70000,207845.609234358,7,0.5194805198,0.05
125345.2064321048,Case: 0117,3702.2978629024,0.0,5.2785907857,repair_rate,1.2,70000,199047.5042950072,7,0.4761904765,0.05
50210.5290990938,Case: 0117,3186.5138801056,0.0,2.1144872133,repair_rate,1.4,70000,123397.0429791994,7,0.4081632656,0.05
43709.7636986271,Case: 0117,3012.4773471488,0.0,1.8407242085,repair_rate,1.6,70000,116722.2410457758,7,0.3571428574,0.05
37663.7991637019,Case: 0117,2664.674593857,0.0,1.5861139718,repair_rate,1.8,70000,110328.4737575589,7,0.3174603177,0.05
89352.538310697,Case: 0118,6635.9094461448,0.0,2.8199408568,repair_rate,1.1,120000,215988.4477568418,12,0.6060606063,0.05
17397.009107984,Case: 0118,6635.9094461448,0.0,0.5490446908,repair_rate,1.2,120000,144032.9185541288,12,0.5555555558,0.05
24906.1647345327,Case: 0118,6417.3426891597,0.0,0.7860315202,repair_rate,1.4,120000,151323.5074236924,12,0.4761904764,0.05
40539.8405830534,Case: 0118,5982.7788088427,0.0,1.2794259117,repair_rate,1.6,120000,166522.6193918961,12,0.4166666668,0.05
14723.9200039484,Case: 0118,5894.1796297212,0.0,0.4646827541,repair_rate,1.8,120000,140618.0996336697,12,0.3703703705,0.05
81042.8706503904,Case: 0119,3864.0409145056,0.0,3.7272860933,repair_rate,1.1,70000,154906.911564896,7,0.5194805205,0.05
62326.1353250667,Case: 0119,3573.3154315763,0.0,2.866474689,repair_rate,1.2,70000,135899.450756643,7,0.4761904771,0.05
35906.3880894321,Case: 0119,3199.2161016131,0.0,1.6513899361,repair_rate,1.4,70000,109105.6041910452,7,0.4081632661,0.05
7751.9860956531,Case: 0119,3168.4958889773,0.0,0.3565257467,repair_rate,1.6,70000,80920.4819846304,7,0.3571428578,0.05
4243.1157802157,Case: 0119,3168.4958889773,0.0,0.1951474116,repair_rate,1.8,70000,77411.611669193,7,0.3174603181,0.05
151765.0908346814,Case: 0120,7695.0212545644,0.0,7.0886831715,repair_rate,1.1,110000,269460.1120892458,11,0.6611570252,0.05
96385.8748085234,Case: 0120,7455.7691072632,0.0,4.5020164055,repair_rate,1.2,110000,213841.6439157866,11,0.6060606064,0.05
40188.5981442084,Case: 0120,6528.7039934629,0.0,1.8771394514,repair_rate,1.4,110000,156717.3021376712,11,0.5194805198,0.05
75334.2089052684,Case: 0120,5544.4350289942,0.0,3.5187297419,repair_rate,1.6,110000,190878.6439342626,11,0.4545454548,0.05
53109.354576664,Case: 0120,5524.7305043783,0.0,2.4806454895,repair_rate,1.8,110000,168634.0850810423,11,0.4040404043,0.05
95881.514403045,Case: 0022,4466.2853883157,0.0,5.7013968264,repair_rate,1.1,700000,800347.7997913607,7,0.5194805153,0.05
100885.0512697468,Case: 0022,3906.2256346467,0.0,5.9989218435,repair_rate,1.2,700000,804791.2769043935,7,0.4761904723,0.05
100294.6454814986,Case: 0022,3332.0280541733,0.0,5.963814579,repair_rate,1.4,700000,803626.6735356719,7,0.408163262,0.05
67840.8107088049,Case: 0022,3323.582393389,0.0,4.0340141192,repair_rate,1.6,700000,771164.3931021938,7,0.3571428543,0.05
28569.4581342896,Case: 0022,3227.379218938,0.0,1.6988240012,repair_rate,1.8,700000,731796.8373532277,7,0.3174603149,0.05
51105.1435690087,Case: 0023,5806.1877098841,0.0,4.5638053676,repair_rate,1.1,900000,956911.3312788928,9,0.8080808082,0.05
30768.2416024183,Case: 0023,5005.7026289253,0.0,2.747673842,repair_rate,1.2,900000,935773.9442313436,9,0.7407407409,0.05
27644.6513295502,Case: 0023,3563.9602812871,0.0,2.4687301378,repair_rate,1.4,900000,931208.6116108373,9,0.634920635,0.05
14652.7068292686,Case: 0023,3529.5786481706,0.0,1.3085199925,repair_rate,1.6,900000,918182.2854774392,9,0.5555555557,0.05
41888.9601707995,Case: 0023,3099.5125690155,0.0,3.7407792625,repair_rate,1.8,900000,944988.472739815,9,0.4938271606,0.05
130975.9848496893,Case: 0029,4793.6825641835,0.0,5.6602756596,repair_rate,1.1,600000,735769.6674138727,6,0.6060606065,0.05
43565.0778654881,Case: 0029,4492.8600379684,0.0,1.8827142253,repair_rate,1.2,600000,648057.9379034565,6,0.555555556,0.05
