BO_cost,Case_id,H_cost,Lamda,Num_back_orders,Parameter_Name,Parameter_Value,Server_cost,T_cost,Used_server,Utilization,Var_level
80656.0930459315,Case: 0076,448.7175600347,0.0,5.9060034987,var_level,0.5,120000,201104.8106059662,12,0.6666666684,0.5
49502.2694518338,Case: 0076,4377.6794978533,0.0,3.624779797,var_level,0.1,120000,173879.9489496871,12,0.6666666684,0.1
25416.9179057762,Case: 0076,5609.7872867148,0.0,1.8611415506,var_level,0.05,120000,151026.705192491,12,0.6666666684,0.05
238302.0560209385,Case: 0076,7575.8139135039,0.0,17.4495530774,var_level,0.01,120000,365877.8699344423,12,0.6666666684,0.01
98340.5919757031,Case: 0079,0.0,0.0,4.0946730745,var_level,0.5,80000,178340.5919757031,8,0.4999999998,0.5
83864.5285249501,Case: 0079,3510.8743336404,0.0,3.4919235278,var_level,0.1,80000,167375.4028585905,8,0.4999999998,0.1
57560.589509068,Case: 0079,7039.4428587811,0.0,2.3966888065,var_level,0.05,80000,144600.0323678491,8,0.4999999998,0.05
150390.8639140135,Case: 0079,10587.6358219113,0.0,6.2619250987,var_level,0.01,80000,240978.4997359248,8,0.4999999998,0.01
107756.219768065,Case: 0080,1384.4268273169,0.0,5.0691553699,var_level,0.5,110000,219140.6465953819,11,0.7272727275,0.5
28912.5684522881,Case: 0080,6847.3038951663,0.0,1.3601284635,var_level,0.1,110000,145759.8723474544,11,0.7272727275,0.1
33225.6311425505,Case: 0080,9106.7160867262,0.0,1.5630270521,var_level,0.05,110000,152332.3472292767,11,0.7272727275,0.05
333827.7727806488,Case: 0080,11181.9939155911,0.0,15.7041964785,var_level,0.01,110000,455009.7666962399,11,0.7272727275,0.01
100674.5012171881,Case: 0117,58.4650863847,0.0,4.239647527,var_level,0.5,70000,170732.9663035728,7,0.5714285718,0.5
69647.0375000522,Case: 0117,3186.5138801056,0.0,2.9330057436,var_level,0.1,70000,142833.5513801578,7,0.5714285718,0.1
19012.8504069935,Case: 0117,6573.5016640189,0.0,0.8006772642,var_level,0.05,70000,95586.3520710125,7,0.5714285718,0.05
560479.5841520271,Case: 0117,7871.0178097585,0.0,23.6031552595,var_level,0.01,70000,638350.6019617856,7,0.5714285718,0.01
146235.4545309177,Case: 0118,579.7494326393,0.0,4.6151496169,var_level,0.5,120000,266815.203963557,12,0.6666666669,0.5
22452.7688901849,Case: 0118,6631.6217917362,0.0,0.7086030407,var_level,0.1,120000,149084.3906819211,12,0.6666666669,0.1
12514.3766438352,Case: 0118,7982.3394458769,0.0,0.3949501901,var_level,0.05,120000,140496.7160897122,12,0.6666666669,0.05
239476.2508663497,Case: 0118,10128.0836242195,0.0,7.5578027981,var_level,0.01,120000,369604.3344905693,12,0.6666666669,0.01
73444.6245726904,Case: 0119,427.5137440093,0.0,3.3778310862,var_level,0.5,70000,143872.1383166997,7,0.5714285725,0.5
44085.1874425371,Case: 0119,3383.5515464662,0.0,2.02754548,var_level,0.1,70000,117468.7389890033,7,0.5714285725,0.1
22434.4486124934,Case: 0119,5110.6056645685,0.0,1.0317947483,var_level,0.05,70000,97545.0542770619,7,0.5714285725,0.05
508586.9923628044,Case: 0119,7258.2373323397,0.0,23.3906969071,var_level,0.01,70000,585845.2296951442,7,0.5714285725,0.01
124518.1966013614,Case: 0120,1037.4138814891,0.0,5.8160281784,var_level,0.5,110000,235555.6104828505,11,0.7272727277,0.5
78480.4957466989,Case: 0120,6886.7192038995,0.0,3.6656873226,var_level,0.1,110000,195367.2149505984,11,0.7272727277,0.1
50353.8073904263,Case: 0120,10688.2795508358,0.0,2.3519386778,var_level,0.05,110000,171042.0869412621,11,0.7272727277,0.05
397524.9121035378,Case: 0120,14025.0244655483,0.0,18.5676965578,var_level,0.01,110000,521549.9365690862,11,0.7272727277,0.01
65195.9965169209,Case: 0022,62.3409451133,0.0,3.8767456892,var_level,0.5,700000,765258.3374620342,7,0.5714285668,0.5
79030.7134981781,Case: 0022,3283.9264669478,0.0,4.6993986477,var_level,0.1,700000,782314.6399651259,7,0.5714285668,0.1
34807.2603270266,Case: 0022,6691.0773349659,0.0,2.0697420645,var_level,0.05,700000,741498.3376619925,7,0.5714285668,0.05
333066.6625123631,Case: 0022,8943.6043778001,0.0,19.8051232759,var_level,0.01,700000,1042010.2668901632,7,0.5714285668,0.01
75498.9721532084,Case: 0023,1442.4939519799,0.0,6.7422296525,var_level,0.5,900000,976941.4661051882,9,0.888888889,0.5
41411.3065922747,Case: 0023,6322.2609103876,0.0,3.6981237133,var_level,0.1,900000,947733.5675026624,9,0.888888889,0.1
65146.0772795334,Case: 0023,7374.978294084,0.0,5.8176926314,var_level,0.05,900000,972521.0555736173,9,0.888888889,0.05
243651.6345554985,Case: 0023,9337.8873644519,0.0,21.7586442374,var_level,0.01,900000,1152989.5219199504,9,0.888888889,0.01
96702.1000500657,Case: 0029,458.8415758483,0.0,4.1790908751,var_level,0.5,600000,697160.941625914,6,0.6666666671,0.5
