BO_cost,Case_id,H_cost,Lamda,Num_back_orders,Parameter_Name,Parameter_Value,Server_cost,T_cost,Used_server,Utilization,Var_level
25416.9179057762,Case: 0076,5609.7872867148,0.0,1.8611415506,work_force_cost,0.2,24000.0,55026.705192491,12,0.6666666684,0.05
25416.9179057762,Case: 0076,5609.7872867148,0.0,1.8611415506,work_force_cost,0.6,72000.0,103026.705192491,12,0.6666666684,0.05
25416.9179057762,Case: 0076,5609.7872867148,0.0,1.8611415506,work_force_cost,1.0,120000.0,151026.705192491,12,0.6666666684,0.05
25416.9179057762,Case: 0076,5609.7872867148,0.0,1.8611415506,work_force_cost,1.4,168000.0,199026.705192491,12,0.6666666684,0.05
25416.9179057762,Case: 0076,5609.7872867148,0.0,1.8611415506,work_force_cost,1.8,216000.0,247026.705192491,12,0.6666666684,0.05
57560.589509068,Case: 0079,7039.4428587811,0.0,2.3966888065,work_force_cost,0.2,16000.0,80600.0323678491,8,0.4999999998,0.05
57560.589509068,Case: 0079,7039.4428587811,0.0,2.3966888065,work_force_cost,0.6,48000.0,112600.0323678491,8,0.4999999998,0.05
57560.589509068,Case: 0079,7039.4428587811,0.0,2.3966888065,work_force_cost,1.0,80000.0,144600.0323678491,8,0.4999999998,0.05
57560.589509068,Case: 0079,7039.4428587811,0.0,2.3966888065,work_force_cost,1.4,112000.0,176600.0323678491,8,0.4999999998,0.05
57560.589509068,Case: 0079,7039.4428587811,0.0,2.3966888065,work_force_cost,1.8,144000.0,208600.0323678491,8,0.4999999998,0.05
33225.6311425505,Case: 0080,9106.7160867262,0.0,1.5630270521,work_force_cost,0.2,22000.0,64332.3472292767,11,0.7272727275,0.05
33225.6311425505,Case: 0080,9106.7160867262,0.0,1.5630270521,work_force_cost,0.6,66000.0,108332.3472292767,11,0.7272727275,0.05
33225.6311425505,Case: 0080,9106.7160867262,0.0,1.5630270521,work_force_cost,1.0,110000.0,152332.3472292767,11,0.7272727275,0.05
33225.6311425505,Case: 0080,9106.7160867262,0.0,1.5630270521,work_force_cost,1.4,154000.0,196332.3472292767,11,0.7272727275,0.05
33225.6311425505,Case: 0080,9106.7160867262,0.0,1.5630270521,work_force_cost,1.8,198000.0,240332.3472292767,11,0.7272727275,0.05
19012.8504069935,Case: 0117,6573.5016640189,0.0,0.8006772642,work_force_cost,0.2,14000.0,39586.3520710125,7,0.5714285718,0.05
19012.8504069935,Case: 0117,6573.5016640189,0.0,0.8006772642,work_force_cost,0.6,42000.0,67586.3520710125,7,0.5714285718,0.05
19012.8504069935,Case: 0117,6573.5016640189,0.0,0.8006772642,work_force_cost,1.0,70000.0,95586.3520710125,7,0.5714285718,0.05
19012.8504069935,Case: 0117,6573.5016640189,0.0,0.8006772642,work_force_cost,1.4,98000.0,123586.3520710125,7,0.5714285718,0.05
19012.8504069935,Case: 0117,6573.5016640189,0.0,0.8006772642,work_force_cost,1.8,126000.0,151586.3520710125,7,0.5714285718,0.05
12514.3766438352,Case: 0118,7982.3394458769,0.0,0.3949501901,work_force_cost,0.2,24000.0,44496.7160897122,12,0.6666666669,0.05
12514.3766438352,Case: 0118,7982.3394458769,0.0,0.3949501901,work_force_cost,0.6,72000.0,92496.7160897122,12,0.6666666669,0.05
12514.3766438352,Case: 0118,7982.3394458769,0.0,0.3949501901,work_force_cost,1.0,120000.0,140496.7160897122,12,0.6666666669,0.05
12514.3766438352,Case: 0118,7982.3394458769,0.0,0.3949501901,work_force_cost,1.4,168000.0,188496.7160897122,12,0.6666666669,0.05
12514.3766438352,Case: 0118,7982.3394458769,0.0,0.3949501901,work_force_cost,1.8,216000.0,236496.7160897122,12,0.6666666669,0.05
22434.4486124934,Case: 0119,5110.6056645685,0.0,1.0317947483,work_force_cost,0.2,14000.0,41545.0542770619,7,0.5714285725,0.05
22434.4486124934,Case: 0119,5110.6056645685,0.0,1.0317947483,work_force_cost,0.6,42000.0,69545.0542770619,7,0.5714285725,0.05
22434.4486124934,Case: 0119,5110.6056645685,0.0,1.0317947483,work_force_cost,1.0,70000.0,97545.0542770619,7,0.5714285725,0.05
22434.4486124934,Case: 0119,5110.6056645685,0.0,1.0317947483,work_force_cost,1.4,98000.0,125545.0542770619,7,0.5714285725,0.05
22434.4486124934,Case: 0119,5110.6056645685,0.0,1.0317947483,work_force_cost,1.8,126000.0,153545.0542770619,7,0.5714285725,0.05
50353.8073904263,Case: 0120,10688.2795508358,0.0,2.3519386778,work_force_cost,0.2,22000.0,83042.0869412621,11,0.7272727277,0.05
